GENERADORES,gen_barra,gen_pmax,gen_pmin,gen_cvar,gen_falla,gen_rupmax,gen_rdnmax,gen_cfijo,gen_factorcap,gen_tipo
Blanco,SIC_Centro,57,0,0,True,0,999,0,0.6,Pasada
Chacabuquito,SIC_Centro,25,0,0,True,0,999,0,0.6,Pasada
Los_Quilos,SIC_Centro,40,0,0,True,0,999,0,0.6,Pasada
Alfalfal,SIC_Centro,196,0,0,True,0,999,0,0.6,Pasada
Florida,SIC_Centro,28,0,0,True,0,999,0,0.6,Pasada
Maitenes,SIC_Centro,30.8,0,0,True,0,999,0,0.6,Pasada
Volcan,SIC_Centro,63,0,0,True,0,999,0,0.6,Pasada
Puntilla,SIC_Centro,22.13,0,0,True,0,999,0,0.6,Pasada
Sauzal,SIC_Centro,90,0,0,True,0,999,0,0.6,Pasada
Pullinque,SIC_Sur,48.6,0,0,True,0,999,0,0.6,Pasada
Pilmaiquen,SIC_Sur,35,0,0,True,0,999,0,0.6,Pasada
Peuchen,SIC_CentroSurC,77,0,0,True,0,999,0,0.6,Pasada
Mampil,SIC_CentroSurC,49,0,0,True,0,999,0,0.6,Pasada
La_Higuera,SIC_CentroSurA,153,0,0,True,0,999,0,0.6,Pasada
Confluencia,SIC_CentroSurA,159,0,0,True,0,999,0,0.6,Pasada
Chacayes,SIC_Centro,106,0,0,True,0,999,0,0.6,Pasada
Rucatayo,SIC_Sur,60,0,0,True,0,999,0,0.6,Pasada
Laja_I,SIC_Sur,34.4,0,0,True,0,999,0,0.6,Pasada
San_Andres,SIC_CentroSurA,40,0,0,True,0,999,0,0.6,Pasada
Los_Hierros,SIC_CentroSurA,25,0,0,True,0,999,0,0.6,Pasada
El_Paso,SIC_CentroSurA,60,0,0,True,0,999,0,0.6,Pasada
San_Pedro,SIC_Sur,144,0,0,True,0,999,0,0.6,Pasada
Alfalfal_02,SIC_Centro,264,0,0,True,0,999,0,0.6,Pasada
Las_Lajas,SIC_Centro,267,0,0,True,0,999,0,0.6,Pasada
nuble,SIC_CentroSurA,136,0,0,True,0,999,0,0.6,Pasada
Ancoa,SIC_CentroSurA,27,0,0,True,0,999,0,0.6,Pasada
El_Arrayan,SIC_CentroNorte,50,0,7.7,True,0,999,0,0.5,Eolica
Eolica_Punta_Colorada,SIC_CentroNorte,10,0,7.7,True,0,999,0,0.5,Eolica
Eolica_Canela_01,SIC_CentroNorte,9.075,0,7.7,True,0,999,0,0.5,Eolica
Eolica_Canela_02,SIC_CentroNorte,30,0,7.7,True,0,999,0,0.5,Eolica
Monte_Redondo,SIC_CentroNorte,24,0,7.7,True,0,999,0,0.5,Eolica
Eolica_Totoral,SIC_CentroNorte,23,0,7.7,True,0,999,0,0.5,Eolica
Los_Cururos,SIC_Centro,55,0,7.7,True,0,999,0,0.5,Eolica
Talinay_Oriente,SIC_Centro,45,0,7.7,True,0,999,0,0.5,Eolica
Ucuquer_II_Eolico,SIC_Centro,5.5,0,7.7,True,0,999,0,0.5,Eolica
Negrete_Cuel,SIC_CentroSurC,16.5,0,7.7,True,0,999,0,0.5,Eolica
San_Pedro_Eolico,SIC_Sur,18,0,7.7,True,0,999,0,0.5,Eolica
Punta_Palmeras,SIC_CentroNorte,22.5,0,7.7,True,0,999,0,0.5,Eolica
Talinay_Poniente,SIC_CentroNorte,30.5,0,7.7,True,0,999,0,0.5,Eolica
Renaico,SIC_Sur,44,0,7.7,True,0,999,0,0.5,Eolica
Los_Buenos_Aires,SIC_CentroSurC,12,0,7.7,True,0,999,0,0.5,Eolica
Tal_Tal_Eolico,SIC_Norte,49.5,0,7.7,True,0,999,0,0.5,Eolica
VALLE_DE_LOS_VIENTOS,SING_Centro,44.45,0,7.7,True,0,999,0,0.5,Eolica
Diego_de_Almagro_FV,SIC_Norte,36,0,7.7,True,0,999,0,0.5,Solar
San_Andres_FV,SIC_Norte,50,0,7.7,True,0,999,0,0.5,Solar
Llano_de_Llampos_FV,SIC_CentroNorte,93,0,7.7,True,0,999,0,0.5,Solar
Pama_FV,SIC_Centro,2,0,7.7,True,0,999,0,0.5,Solar
Lomas_Coloradas_FV,SIC_Centro,2,0,7.7,True,0,999,0,0.5,Solar
Lalackama_2,SIC_Norte,16,0,7.7,True,0,999,0,0.5,Solar
El_Pilar_Los_Amarillos,SIC_Norte,2.995,0,7.7,True,0,999,0,0.5,Solar
Lalackama_FV,SIC_Norte,55,0,7.7,True,0,999,0,0.5,Solar
Chanares,SIC_Norte,35,0,7.7,True,0,999,0,0.5,Solar
Carrera_Pinto,SIC_Norte,97,0,7.7,True,0,999,0,0.5,Solar
Javiera,SIC_Norte,69,0,7.7,True,0,999,0,0.5,Solar
Luz_del_Norte_FV_IV,SIC_Norte,31,0,7.7,True,0,999,0,0.5,Solar
Valleland,SIC_CentroNorte,67.4,0,7.7,True,0,999,0,0.5,Solar
Luz_del_Norte_FV_II,SIC_Norte,38,0,7.7,True,0,999,0,0.5,Solar
Pelicano,SIC_CentroNorte,100,0,7.7,True,0,999,0,0.5,Solar
Luz_del_Norte_FV_I,SIC_Norte,36,0,7.7,True,0,999,0,0.5,Solar
Conejo_I,SIC_Norte,108,0,7.7,True,0,999,0,0.5,Solar
PFV_Olmue,SIC_Centro,144,0,7.7,True,0,999,0,0.5,Solar
Salvador_FV,SIC_Norte,68,0,7.7,True,0,999,0,0.5,Solar
Luz_del_Norte_FV_III,SIC_Norte,36,0,7.7,True,0,999,0,0.5,Solar
Guanaco_Solar,SIC_Norte,50,0,7.7,True,0,999,0,0.5,Solar
Pampa_Solar_Norte,SIC_Norte,90.6,0,7.7,True,0,999,0,0.5,Solar
Chaka,SIC_Norte,23,0,7.7,True,0,999,0,0.5,Solar
Chaka_2,SIC_Norte,27,0,7.7,True,0,999,0,0.5,Solar
Quilapilun,SIC_Centro,110,0,7.7,True,0,999,0,0.5,Solar
Solar_Carrera_Pinto_03,SIC_Norte,200,0,7.7,True,0,999,0,0.5,Solar
LA_HUAYCA,SING_Norte,1.4,0,6,True,0,999,0,0.5,Solar
MARIA_ELENA,SING_Centro,72,0,6,True,0,999,0,0.5,Solar
POZO_ALMONTE_2,SING_Norte,7.5,0,6,True,0,999,0,0.5,Solar
POZO_ALMONTE_3,SING_Norte,16,0,6,True,0,999,0,0.5,Solar
EL_AGUILA,SING_Norte,2,0,6,True,0,999,0,0.5,Solar
JAMA,SING_Centro,30,0,6,True,0,999,0,0.5,Solar
LA_HUAYCA_2,SING_Norte,8.2,0,6,True,0,999,0,0.5,Solar
LOS_PUQUIOS,SING_Norte,3,0,6,True,0,999,0,0.5,Solar
PARUMA,SING_Centro,17,0,6,True,0,999,0,0.5,Solar
PICA_I,SING_Norte,0.63,0,6,True,0,999,0,0.5,Solar
PULAR,SING_Centro,24,0,6,True,0,999,0,0.5,Solar
QUILLAGUA_II,SING_Centro,27,0,6,True,0,999,0,0.5,Solar
BLUE_SKY_II,SING_Centro,51,0,6,True,0,999,0,0.5,Solar
ATACAMA_I,SING_Centro,100,0,6,True,0,999,0,0.5,Solar
QUILLAGUA_I,SING_Centro,23,0,6,True,0,999,0,0.5,Solar
QUILLAGUA_III,SING_Centro,50,0,6,True,0,999,0,0.5,Solar
HUATACONDO,SING_Norte,98,0,6,True,0,999,0,0.5,Solar
FINIS_TERRAE,SING_Centro,138,0,6,True,0,999,0,0.5,Solar
Cerro_Dominador,SING_Centro,110,0,6,True,0,999,0,0.5,Solar
ANDES_SOLAR,SING_Centro,21,0,6,True,0,999,0,0.5,Solar
BOLERO_I,SING_Centro,42,0,6,True,0,999,0,0.5,Solar
URIBE_SOLAR,SING_Sur,50,0,6,True,0,999,0,0.5,Solar
BLUE_SKY_I,SING_Centro,34,0,6,True,0,999,0,0.5,Solar
BOLERO_II,SING_Centro,104,0,6,True,0,999,0,0.5,Solar
ARICA_SOLAR_1,SING_Norte,18,0,6,True,0,999,0,0.5,Solar
ARICA_SOLAR_2,SING_Norte,22,0,6,True,0,999,0,0.5,Solar
CALAMA_SUR,SING_Centro,30,0,6,True,0,999,0,0.5,Solar
LASCAR,SING_Centro,30,0,6,True,0,999,0,0.5,Solar
