GENERADORES,ESCENARIOS,gen_cvar,gen_rupmax,gen_rdnmax,gen_factorcap,tipo,barra
La_Higuera,Seco.Dmin,0,0,999,0.3,Pasada,SIC_CentroSurA
Confluencia,Seco.Dmin,0,0,999,0.3,Pasada,SIC_CentroSurA
San_Andres,Seco.Dmin,0,0,999,0.3,Pasada,SIC_CentroSurA
Los_Hierros,Seco.Dmin,0,0,999,0.3,Pasada,SIC_CentroSurA
El_Paso,Seco.Dmin,0,0,999,0.3,Pasada,SIC_CentroSurA
nuble,Seco.Dmin,0,0,999,0.3,Pasada,SIC_CentroSurA
Ancoa,Seco.Dmin,0,0,999,0.3,Pasada,SIC_CentroSurA
Peuchen,Seco.Dmin,0,0,999,0.3,Pasada,SIC_CentroSurC
Mampil,Seco.Dmin,0,0,999,0.3,Pasada,SIC_CentroSurC
Pullinque,Seco.Dmin,0,0,999,0.3,Pasada,SIC_Sur
Pilmaiquen,Seco.Dmin,0,0,999,0.3,Pasada,SIC_Sur
Rucatayo,Seco.Dmin,0,0,999,0.3,Pasada,SIC_Sur
Laja_I,Seco.Dmin,0,0,999,0.3,Pasada,SIC_Sur
San_Pedro,Seco.Dmin,0,0,999,0.3,Pasada,SIC_Sur
Chiburgo,Seco.Dmin,0,0,999,0.3,Serie,SIC_Centro
Isla,Seco.Dmin,0,0,999,0.3,Serie,SIC_CentroSurA
Curillinque,Seco.Dmin,0,0,999,0.3,Serie,SIC_CentroSurA
Loma_Alta,Seco.Dmin,0,0,999,0.3,Serie,SIC_CentroSurA
San_Ignacio,Seco.Dmin,0,0,999,0.3,Serie,SIC_CentroSurA
Ojos_de_Agua,Seco.Dmin,0,0,999,0.3,Serie,SIC_CentroSurA
Abanico,Seco.Dmin,0,0,999,0.3,Serie,SIC_CentroSurC
Rucue,Seco.Dmin,0,0,999,0.3,Serie,SIC_CentroSurC
Quilleco,Seco.Dmin,0,0,999,0.3,Serie,SIC_CentroSurC
Palmucho,Seco.Dmin,0,0,999,0.3,Serie,SIC_CentroSurC
Eolico-SIC_Centro,Seco.Dmin,0,0,999,0.5,Eolico,SIC_Centro
Eolico-SIC_CentroNorte,Seco.Dmin,0,0,999,0.5,Eolico,SIC_CentroNorte
Eolico_SIC_CentroSurC,Seco.Dmin,0,0,999,0.5,Eolico,SIC_CentroSurC
Eolico_SIC_Norte,Seco.Dmin,0,0,999,0.5,Eolico,SIC_Norte
Eolico_SIC_Sur,Seco.Dmin,0,0,999,0.5,Eolico,SIC_Sur
Eolico_SING_Centro,Seco.Dmin,0,0,999,0.5,Eolico,SING_Centro
Solar_SIC_Centro,Seco.Dmin,0,0,999,0,Solar,SIC_Centro
Solar_SIC_CentroNorte,Seco.Dmin,0,0,999,0,Solar,SIC_CentroNorte
Solar_SIC_Norte1,Seco.Dmin,0,0,999,0,Solar,SIC_Norte
Solar_SIC_Norte2,Seco.Dmin,0,0,999,0,Solar,SIC_Norte
Solar_SING_Centro1,Seco.Dmin,0,0,999,0,Solar,SING_Centro
Solar_SING_Centro2,Seco.Dmin,0,0,999,0,Solar,SING_Centro
Solar_SING_Norte,Seco.Dmin,0,0,999,0,Solar,SING_Norte
Solar_SING_Sur,Seco.Dmin,0,0,999,0,Solar,SING_Sur
Nueva_Ventanas,Seco.Dmax,37.64904188,999,999,1,Carbon,SIC_Centro
Campiche,Seco.Dmax,37.91690018,999,999,1,Carbon,SIC_Centro
Ventanas_02,Seco.Dmax,39.89699388,999,999,1,Carbon,SIC_Centro
Ventanas_01,Seco.Dmax,42.44335633,999,999,1,Carbon,SIC_Centro
Guacolda_03,Seco.Dmax,29.05,999,999,1,Carbon,SIC_CentroNorte
Guacolda_04,Seco.Dmax,32.023,999,999,1,Carbon,SIC_CentroNorte
Guacolda_01,Seco.Dmax,32.7484,999,999,1,Carbon,SIC_CentroNorte
Guacolda_02,Seco.Dmax,32.8528,999,999,1,Carbon,SIC_CentroNorte
Guacolda_05,Seco.Dmax,40.50964896,999,999,1,Carbon,SIC_CentroNorte
Santa_Maria,Seco.Dmax,33.89169646,999,999,1,Carbon,SIC_CentroSurC
Bocamina_02,Seco.Dmax,44.81518306,999,999,1,Carbon,SIC_CentroSurC
Bocamina_01,Seco.Dmax,48.09768973,999,999,1,Carbon,SIC_CentroSurC
NTO2,Seco.Dmax,29.8567,999,999,1,Carbon,SING_Centro
NTO1,Seco.Dmax,30.15688,999,999,1,Carbon,SING_Centro
CTM2,Seco.Dmax,32.2307248,999,999,1,Carbon,SING_Centro
CTH,Seco.Dmax,32.71240159,999,999,1,Carbon,SING_Centro
CTM1,Seco.Dmax,33.1455574,999,999,1,Carbon,SING_Centro
CTA,Seco.Dmax,34.98930347,999,999,1,Carbon,SING_Centro
U15,Seco.Dmax,36.8778299,999,999,1,Carbon,SING_Centro
U14,Seco.Dmax,38.2190069,999,999,1,Carbon,SING_Centro
