BARRAS,ESCENARIOS,demanda
SING_Norte,Seco.Dmin,341
SING_Centro,Seco.Dmin,1346
SING_Sur,Seco.Dmin,368
SIC_Norte,Seco.Dmin,122
SIC_CentroNorte,Seco.Dmin,670
SIC_Centro,Seco.Dmin,2910
SIC_CentroSurA,Seco.Dmin,166
SIC_CentroSurC,Seco.Dmin,615
SIC_Sur,Seco.Dmin,340
