GENERADORES,gen_barra,gen_pmax,gen_pmin,gen_falla,gen_cfijo,gen_tipo,gen_cvar0,gen_rupmax0,gen_rdnmax0
Laja_I,SIC_Sur,34.4,0,True,0,Pasada,0,0,0
Pilmaiquen,SIC_Sur,35,0,True,0,Pasada,0,0,0
Pullinque,SIC_Sur,48.6,0,True,0,Pasada,0,0,0
Rucatayo,SIC_Sur,60,0,True,0,Pasada,0,0,0
San_Pedro,SIC_Sur,144,0,True,0,Pasada,0,0,0
Chiburgo,SIC_Centro,19.4,0,True,0,Serie,0,0,0
Curillinque,SIC_CentroSurA,89,0,True,0,Serie,0,0,0
Isla,SIC_CentroSurA,68,0,True,0,Serie,0,0,0
Loma_Alta,SIC_CentroSurA,38,0,True,0,Serie,0,0,0
Ojos_de_Agua,SIC_CentroSurA,9,0,True,0,Serie,0,0,0
San_Ignacio,SIC_CentroSurA,37,0,True,0,Serie,0,0,0
Abanico,SIC_CentroSurC,136,0,True,0,Serie,0,0,0
Palmucho,SIC_CentroSurC,32,0,True,0,Serie,0,0,0
Quilleco,SIC_CentroSurC,70,0,True,0,Serie,0,0,0
Rucue,SIC_CentroSurC,169,0,True,0,Serie,0,0,0
Solar_SING_Norte,SING_Norte,176.73,0,True,0,Solar,0,0,0
Solar_SING_Centro1,SING_Centro,451,0,True,0,Solar,0,0,0
Solar_SING_Centro2,SING_Centro,451,0,True,0,Solar,0,0,0
Solar_SING_Sur,SING_Sur,50,0,True,0,Solar,0,0,0
Solar_SIC_Norte1,SIC_Norte,535,0,True,0,Solar,0,0,0
Solar_SIC_Norte2,SIC_Norte,535,0,True,0,Solar,0,0,0
Solar_SIC_CentroNorte,SIC_CentroNorte,260.4,0,True,0,Solar,0,0,0
Solar_SIC_Centro,SIC_Centro,258,0,True,0,Solar,0,0,0
Eolico-SIC_Centro,SIC_Centro,211,0,True,0,Eolico,0,0,0
Eolico-SIC_CentroNorte,SIC_CentroNorte,398.15,0,True,0,Eolico,0,0,0
Eolico_SIC_CentroSurC,SIC_CentroSurC,57,0,True,0,Eolico,0,0,0
Eolico_SIC_Norte,SIC_Norte,99,0,True,0,Eolico,0,0,0
Eolico_SIC_Sur,SIC_Sur,124,0,True,0,Eolico,0,0,0
Eolico_SING_Centro,SING_Centro,88.9,0,True,0,Eolico,0,0,0
